ImageId,EncodedPixels
No_4 CD31_dapi_8bit.png, 507585 7 508531 9 509477 10 510424 10 511371 10 512318 10 513265 10 514213 9 515161 7 516109 6
No_4 CD31_dapi_8bit.png, 263036 9 263982 12 264928 13 265875 13 266822 13 267769 13 268717 12 269665 9
No_4 CD31_dapi_8bit.png, 41705 6 42650 9 43596 11 44543 12 45490 12 46436 13 47383 13 48331 12 49278 11 50225 11 51173 9 52124 3
No_4 CD31_dapi_8bit.png, 602770 7 603714 12 604660 13 605606 15 606553 15 607500 15 608447 15 609395 13 610343 12 611294 6
No_4 CD31_dapi_8bit.png, 720318 8 721264 12 722210 14 723156 15 724103 15 725050 14 725997 14 726945 10 727893 5
No_4 CD31_dapi_8bit.png, 626175 5 627119 11 628065 13 629012 13 629958 15 630905 15 631852 15 632800 13 633748 11 634698 5
No_4 CD31_dapi_8bit.png, 146564 7 147509 10 148456 11 149403 11 150349 13 151296 13 152243 13 153190 13 154138 12 155085 11 156033 10 156983 5
No_4 CD31_dapi_8bit.png, 735227 4 736172 8 737118 10 738064 11 739011 11 739958 11 740904 12 741851 11 742799 9 743748 6
No_4 CD31_dapi_8bit.png, 414105 9 415051 12 415998 12 416945 12 417891 13 418838 13 419785 13 420733 12 421680 11 422628 9 423578 3
No_4 CD31_dapi_8bit.png, 471875 4 472820 9 473766 11 474712 13 475659 13 476606 14 477553 14 478500 14 479447 14 480395 12 481343 11 482292 7
No_4 CD31_dapi_8bit.png, 183699 6 184644 10 185590 12 186536 14 187483 14 188429 15 189376 15 190322 16 191269 15 192217 13 193164 12 194112 10 195062 4
No_4 CD31_dapi_8bit.png, 654033 6 654978 10 655924 12 656870 13 657817 13 658764 12 659712 10 660659 8 661607 5
No_4 CD31_dapi_8bit.png, 806850 6 807795 9 808741 11 809687 13 810634 13 811581 13 812529 12 813476 11 814424 9 815373 6
No_4 CD31_dapi_8bit.png, 235881 4 236827 6 237773 9 238720 10 239667 10 240614 11 241562 10 242510 8 243458 7 244406 5
No_4 CD31_dapi_8bit.png, 566264 6 567210 10 568156 12 569103 13 570050 14 570997 14 571945 13 572893 12 573842 9 574792 5
No_4 CD31_dapi_8bit.png, 869294 6 870239 9 871185 12 872132 12 873078 14 874025 14 874973 13 875920 13 876867 12 877815 11 878763 8 879712 3
No_4 CD31_dapi_8bit.png, 181770 10 182715 13 183662 13 184609 13 185555 14 186502 14 187450 12 188397 12 189345 10 190294 7 191243 3
No_4 CD31_dapi_8bit.png, 327000 7 327945 11 328891 12 329837 14 330784 14 331731 14 332678 13 333626 10 334575 6
No_4 CD31_dapi_8bit.png, 100481 5 101427 7 102373 9 103320 9 104267 10 105214 10 106162 8 107109 8 108057 6
No_4 CD31_dapi_8bit.png, 840957 4 841902 8 842848 10 843795 10 844741 11 845688 11 846635 11 847583 9 848530 8 849479 4
No_4 CD31_dapi_8bit.png, 117508 5 118453 9 119399 12 120345 13 121292 13 122239 14 123187 13 124134 13 125082 11 126030 9 126980 4
No_4 CD31_dapi_8bit.png, 115452 10 116398 13 117344 15 118290 17 119237 18 120184 18 121131 18 122079 17 123028 14 123977 10
No_4 CD31_dapi_8bit.png, 879873 4 880817 10 881763 11 882710 12 883657 12 884604 12 885551 11 886498 11 887446 9 888396 3
No_4 CD31_dapi_8bit.png, 358281 7 359227 10 360173 12 361119 14 362065 15 363012 15 363959 15 364906 15 365854 13 366802 11 367753 3
No_4 CD31_dapi_8bit.png, 50306 5 51251 11 52197 13 53144 14 54091 14 55038 14 55985 13 56933 12 57880 11 58828 9 59777 6
No_4 CD31_dapi_8bit.png, 179323 5 180269 10 181215 13 182162 14 183109 14 184056 14 185004 13 185951 13 186899 11 187847 9 188796 5
No_4 CD31_dapi_8bit.png, 460450 7 461395 11 462341 12 463288 13 464234 14 465181 14 466128 14 467076 13 468023 12 468971 9 469921 4
No_4 CD31_dapi_8bit.png, 326763 6 327709 8 328656 10 329603 11 330550 13 331497 14 332445 13 333393 12 334342 10 335290 8 336240 3
No_4 CD31_dapi_8bit.png, 200570 7 201515 11 202461 13 203408 14 204354 15 205301 15 206248 15 207196 13 208143 13 209091 10 210040 6
No_4 CD31_dapi_8bit.png, 634671 8 635617 11 636564 12 637510 13 638457 14 639405 13 640352 13 641300 12 642248 11 643197 8 644147 3
No_4 CD31_dapi_8bit.png, 462003 6 462948 10 463894 11 464841 12 465788 13 466735 13 467682 13 468629 13 469577 12 470525 10 471475 5
No_4 CD31_dapi_8bit.png, 105644 7 106589 10 107536 11 108483 11 109429 12 110376 12 111323 12 112271 10 113218 9 114168 4
No_4 CD31_dapi_8bit.png, 20659 6 21603 11 22549 13 23494 15 24440 16 25387 16 26333 16 27280 16 28228 13 29176 11
No_4 CD31_dapi_8bit.png, 625184 4 626129 9 627075 12 628022 13 628969 13 629917 12 630865 11 631813 9 632761 7
No_4 CD31_dapi_8bit.png, 227253 7 228198 11 229144 12 230091 13 231038 13 231985 13 232932 13 233878 13 234826 12 235773 11 236721 9 237670 4
No_4 CD31_dapi_8bit.png, 13483 6 14429 9 15375 11 16322 12 17269 13 18216 14 19164 14 20111 14 21059 13 22007 11 22955 10 23904 6
No_4 CD31_dapi_8bit.png, 160028 6 160974 8 161920 10 162867 10 163814 10 164760 12 165707 12 166654 11 167601 11 168549 9 169496 8 170445 4
No_4 CD31_dapi_8bit.png, 19590 8 20536 11 21482 13 22429 13 23375 15 24322 15 25269 15 26217 13 27164 13 28112 11 29062 5
No_4 CD31_dapi_8bit.png, 268313 5 269259 7 270206 8 271153 9 272100 10 273048 10 273995 11 274943 11 275891 10 276838 10 277786 9 278733 9 279681 7 280630 4
